NO  , DateTime ,Temperature,  note
108  ,  15/04/2011 11:00:05 , 22.79 C
109  ,  15/04/2011 11:00:10 , 22.83 C
110  ,  15/04/2011 11:00:15 , 22.83 C
111  ,  15/04/2011 11:00:20 , 22.79 C
112  ,  15/04/2011 11:00:25 , 22.83 C
113  ,  15/04/2011 11:00:30 , -37.99 C
114  ,  15/04/2011 11:00:35 , 22.76 C
115  ,  15/04/2011 11:00:40 , 22.76 C
116  ,  15/04/2011 11:00:45 , 22.76 C
117  ,  15/04/2011 11:00:50 , 22.83 C
118  ,  15/04/2011 11:00:55 , 22.83 C
119  ,  15/04/2011 11:01:00 , 22.83 C
120  ,  15/04/2011 11:01:05 , 22.79 C
121  ,  15/04/2011 11:01:10 , 22.76 C
122  ,  15/04/2011 11:01:15 , 22.83 C
123  ,  15/04/2011 11:01:20 , 22.76 C
124  ,  15/04/2011 11:01:25 , 22.76 C
125  ,  15/04/2011 11:01:30 , 22.79 C
126  ,  15/04/2011 11:01:35 , 22.76 C
127  ,  15/04/2011 11:01:40 , 22.76 C
128  ,  15/04/2011 11:01:45 , 22.76 C
129  ,  15/04/2011 11:01:50 , 22.79 C
130  ,  15/04/2011 11:01:55 , 22.83 C
131  ,  15/04/2011 11:02:00 , 22.83 C
132  ,  15/04/2011 11:02:05 , 22.79 C
133  ,  15/04/2011 11:02:10 , 22.79 C
134  ,  15/04/2011 11:02:15 , 22.83 C
135  ,  15/04/2011 11:02:20 , 22.83 C
136  ,  15/04/2011 11:02:25 , 22.86 C
137  ,  15/04/2011 11:02:30 , 22.86 C
138  ,  15/04/2011 11:02:35 , 22.86 C
139  ,  15/04/2011 11:02:40 , 22.86 C
140  ,  15/04/2011 11:02:45 , 22.83 C
141  ,  15/04/2011 11:02:50 , 22.83 C
142  ,  15/04/2011 11:02:55 , 22.83 C
143  ,  15/04/2011 11:03:00 , 22.83 C
144  ,  15/04/2011 11:03:05 , 22.83 C
145  ,  15/04/2011 11:03:10 , 22.83 C
146  ,  15/04/2011 11:03:15 , 22.86 C
147  ,  15/04/2011 11:03:20 , 22.89 C
148  ,  15/04/2011 11:03:25 , 22.86 C
149  ,  15/04/2011 11:03:30 , 22.89 C
150  ,  15/04/2011 11:03:35 , 22.89 C
151  ,  15/04/2011 11:03:40 , 22.89 C
152  ,  15/04/2011 11:03:45 , 22.89 C
153  ,  15/04/2011 11:03:50 , 22.89 C
154  ,  15/04/2011 11:03:55 , 22.89 C
155  ,  15/04/2011 11:04:00 , 22.89 C
156  ,  15/04/2011 11:04:05 , 22.86 C
157  ,  15/04/2011 11:04:10 , 22.86 C
158  ,  15/04/2011 11:04:15 , 22.83 C
159  ,  15/04/2011 11:04:20 , 22.86 C
160  ,  15/04/2011 11:04:25 , 22.86 C
161  ,  15/04/2011 11:04:30 , 22.83 C
162  ,  15/04/2011 11:04:35 , 22.83 C
163  ,  15/04/2011 11:04:40 , 22.83 C
164  ,  15/04/2011 11:04:45 , 22.79 C
165  ,  15/04/2011 11:04:50 , 22.83 C
166  ,  15/04/2011 11:04:55 , 22.76 C
167  ,  15/04/2011 11:05:00 , 22.83 C
168  ,  15/04/2011 11:05:05 , 22.83 C
169  ,  15/04/2011 11:05:10 , 22.79 C
170  ,  15/04/2011 11:05:15 , 22.83 C
171  ,  15/04/2011 11:05:20 , 22.76 C
172  ,  15/04/2011 11:05:25 , 22.79 C
